"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2003","Stratum_1"," [kg*km2/km2]",96647.0007905341,24887.7177346841,0.981554072625546
"1","2004","Stratum_1"," [kg*km2/km2]",126200.736000985,24694.9712585265,0.612678610895586
"1","2005","Stratum_1"," [kg*km2/km2]",862569.606245703,159692.142107642,0.623024816009323
"1","2006","Stratum_1"," [kg*km2/km2]",104426.902663107,22426.1365295257,0.731528656905468
"1","2007","Stratum_1"," [kg*km2/km2]",451246.736955758,94000.051944376,0.493934279050938
"1","2008","Stratum_1"," [kg*km2/km2]",1128590.2686836,141478.318881221,0.535532140259469
"1","2009","Stratum_1"," [kg*km2/km2]",1951609.33315731,245993.806346733,0.311448960660224
"1","2010","Stratum_1"," [kg*km2/km2]",5782573.41706522,793906.332734337,0.275304197653798
"1","2011","Stratum_1"," [kg*km2/km2]",3109394.64889692,599459.312863948,0.555167174926716
"1","2012","Stratum_1"," [kg*km2/km2]",3524847.66730561,536255.870855144,0.309054191913289
"1","2013","Stratum_1"," [kg*km2/km2]",2930567.03368477,700706.13562708,0.503100269611826
"1","2014","Stratum_1"," [kg*km2/km2]",2131761.10696958,394865.085648744,0.462818475987784
"1","2015","Stratum_1"," [kg*km2/km2]",4010677.15904343,811521.800973496,0.654627021818409
"1","2016","Stratum_1"," [kg*km2/km2]",1249103.94194301,256480.828646359,0.643975390292667
"1","2017","Stratum_1"," [kg*km2/km2]",33738.8348565126,8275.8087657878,0.936948704995107
"1","2018","Stratum_1"," [kg*km2/km2]",262820.341053575,76111.8839441547,0.650921319550459
"1","2019","Stratum_1"," [kg*km2/km2]",4387.10652844376,2486.84591063128,2.7311413614986
"1","2020","Stratum_1"," [kg*km2/km2]",1128590.2686836,141478.318881221,0.535532140259469
"1","2021","Stratum_1"," [kg*km2/km2]",44994.5115590086,11602.3801188567,0.919340140553685
"1","2022","Stratum_1"," [kg*km2/km2]",727861.386891656,143386.121403796,0.635941061668543
"1","2023","Stratum_1"," [kg*km2/km2]",641404.390661692,93775.6020139422,0.411123528738724
"1","2024","Stratum_1"," [kg*km2/km2]",3571531.84557152,466614.692582044,0.384217175063096
