"","Year","mean","Year.1","SD"
"1",2003,1.73382698080643,2003,2.24826660302524
"2",2004,18.0213126297257,2004,30.781034133113
"3",2005,30.209626257914,2005,40.4559066383143
"4",2006,0.536377747831257,2006,1.66018701995243
"5",2007,0.185211807170898,2007,0.305329230561938
"6",2009,0.0316826199511024,2009,0.0966785877185684
"7",2010,0.0514321867193986,2010,0.0747869167073828
"8",2011,0.0457182719794968,2011,0.151723955965826
"9",2012,0.00520633851295705,2012,0.00679946720400358
"10",2013,0.631601851290834,2013,1.02539256444579
"11",2014,118.452739243794,2014,213.814938408194
"12",2015,58.6036092024877,2015,73.8796118661397
"13",2016,5.76011163363168,2016,12.9152553188879
"14",2017,2.22630364273751,2017,2.89615751261567
"15",2018,34.7708936515371,2018,86.4655936611508
"16",2019,2.0585259753095,2019,5.16883730464827
"17",2021,10.8278254780564,2021,17.2480915363948
"18",2022,2.46893772345254,2022,3.588484966003
"19",2023,13.4325026466963,2023,23.7899739814675
"20",2024,7.71872222449513,2024,20.364549234117
"21",2025,177.023986203667,2025,286.833921358937
