"sample_year","est","lwr","upr","log_est","se","model","region","species"
2003,226019.958279415,144986.830887511,352342.493645253,12.3283785853261,0.22652476934036,"nbs.forage","NBS","Forage"
2004,612274.162411962,441923.547651665,848290.732524528,13.3249354389797,0.166351659809264,"nbs.forage","NBS","Forage"
2005,340819.687066186,213264.496372601,544666.651353677,12.7391088394818,0.239198476010643,"nbs.forage","NBS","Forage"
2006,374747.455003252,256817.493537977,546830.5647592,12.8340076247563,0.192802856585862,"nbs.forage","NBS","Forage"
2007,349259.556692395,247853.658374299,492154.276604447,12.7635706402163,0.174991417773429,"nbs.forage","NBS","Forage"
2009,189007.993075531,127737.589072046,279667.259308386,12.1495445845524,0.199907362797176,"nbs.forage","NBS","Forage"
2010,204403.264902362,135733.187550154,307814.879005231,12.2278501102876,0.208883291738171,"nbs.forage","NBS","Forage"
2011,363892.621388816,267701.715206695,494646.961073757,12.8046141069144,0.1566281179913,"nbs.forage","NBS","Forage"
2012,166783.729629205,105618.314088306,263371.108591742,12.0244532199596,0.233099260741292,"nbs.forage","NBS","Forage"
2013,358570.84361555,227942.999477348,564057.901255899,12.7898815307003,0.231142337249691,"nbs.forage","NBS","Forage"
2014,1146444.37921627,769918.791176539,1707108.24271232,13.9521758665544,0.203134112377293,"nbs.forage","NBS","Forage"
2015,686378.939010317,416785.486396772,1130356.17432329,13.4391851434251,0.254524164755018,"nbs.forage","NBS","Forage"
2016,483971.068545375,288821.988518124,810977.018719107,13.0897804081794,0.263379629228213,"nbs.forage","NBS","Forage"
2017,768238.736122356,477925.987718573,1234899.90258996,13.5518558181506,0.242170090786531,"nbs.forage","NBS","Forage"
2018,532530.894205183,344025.697715133,824325.494189669,13.1853961921695,0.22292478810336,"nbs.forage","NBS","Forage"
2019,781663.895268706,511010.25661882,1195667.6744796,13.5691801256897,0.216858671075992,"nbs.forage","NBS","Forage"
2021,176677.084917759,115488.092056477,270285.808512379,12.0820789663541,0.216920446067809,"nbs.forage","NBS","Forage"
2022,139297.013701392,88266.8121762238,219829.600137667,11.8443637216443,0.232781960457127,"nbs.forage","NBS","Forage"
2023,262557.736009839,171259.452271726,402527.065362997,12.4782262835332,0.218009788218102,"nbs.forage","NBS","Forage"
2024,216117.774934645,141485.171841647,330118.640948302,12.2835787923962,0.216141009631808,"nbs.forage","NBS","Forage"
2025,840464.287696097,568163.117821613,1243270.10454468,13.6417097415719,0.199771990159887,"nbs.forage","NBS","Forage"
2003,8662.87178929293,2106.39213632566,35627.4343905569,9.06680156197604,0.721477383352084,"nbs.pollock","NBS","Pollock"
2004,124288.108280991,52202.7931210289,295913.933652042,11.7303576034209,0.442592991380688,"nbs.pollock","NBS","Pollock"
2005,177446.025642409,65670.1757349623,479473.241298531,12.0864217607678,0.507163199628147,"nbs.pollock","NBS","Pollock"
2006,2893.64560887992,864.545110658412,9685.07577749563,7.97027244249871,0.616373039021695,"nbs.pollock","NBS","Pollock"
2007,1464.57038450218,408.391235265506,5252.23419588412,7.28931722554459,0.651589320370144,"nbs.pollock","NBS","Pollock"
2009,161.697881955298,39.6492298412532,659.437904179049,5.08572966789058,0.717185700866987,"nbs.pollock","NBS","Pollock"
2010,323.599606838274,83.0583722429041,1260.76038716051,5.77950697022153,0.693871591673457,"nbs.pollock","NBS","Pollock"
2011,180.021227974576,53.3501968818713,607.451226341897,5.19307477712873,0.620520131287687,"nbs.pollock","NBS","Pollock"
2012,57.4357367653532,6.280375134566,525.265416013546,4.05066670132659,1.12922329455274,"nbs.pollock","NBS","Pollock"
2013,4623.16826807138,463.815748703049,46082.2749004718,8.43883552135122,1.17315836384584,"nbs.pollock","NBS","Pollock"
2014,500068.635155451,168735.011888184,1482019.86693757,13.1225006382945,0.554303987478465,"nbs.pollock","NBS","Pollock"
2015,377634.498123818,64805.5289328779,2200550.115422,12.841682070637,0.899269518624245,"nbs.pollock","NBS","Pollock"
2016,30647.2152687387,4606.64062372231,203890.835089598,10.3302970814044,0.966876402337538,"nbs.pollock","NBS","Pollock"
2017,12716.157224077,2339.54485025206,69116.28752491,9.4506286862258,0.863749037526238,"nbs.pollock","NBS","Pollock"
2018,121464.907690258,25175.3804978619,586037.768186099,11.70738067445,0.802952939582261,"nbs.pollock","NBS","Pollock"
2019,10683.7191278944,2332.9815711659,48925.3133477151,9.27647628484408,0.776327485635472,"nbs.pollock","NBS","Pollock"
2021,48017.9346489898,15675.0517022603,147095.020274936,10.7793298586252,0.571186105239775,"nbs.pollock","NBS","Pollock"
2022,14902.9316869599,3505.45919083482,63357.5690873474,9.60931323009342,0.738399501418148,"nbs.pollock","NBS","Pollock"
2023,56648.9879709496,19855.4634734515,161623.416266442,10.9446294017061,0.534905194061797,"nbs.pollock","NBS","Pollock"
2024,26820.3914094979,11329.2656003967,63493.3826013821,10.1969177506702,0.439688292527797,"nbs.pollock","NBS","Pollock"
2025,892719.067240911,316397.904462507,2518813.56284368,13.7020272160084,0.529229788098489,"nbs.pollock","NBS","Pollock"
2003,188688.043948735,100914.5499168,352805.199632294,12.1478503692472,0.319302281512378,"nbs.herring","NBS","Herring"
2004,509508.085208438,321571.990045259,807279.542152391,13.1412010004266,0.234812622677427,"nbs.herring","NBS","Herring"
2005,216101.167687273,113318.170834039,412111.441016795,12.2835019459384,0.329366834704548,"nbs.herring","NBS","Herring"
2006,418633.871350552,247688.519813956,707559.310272386,12.9447520015126,0.267772641939743,"nbs.herring","NBS","Herring"
2007,309083.294937815,192759.214779186,495605.272718367,12.6413660824599,0.240906970232883,"nbs.herring","NBS","Herring"
2009,115939.208701551,63777.3812487798,210762.810437579,11.6608212698019,0.304937944739631,"nbs.herring","NBS","Herring"
2010,75849.7783275245,44534.2961165951,129185.579969024,11.2365100622612,0.271686212549797,"nbs.herring","NBS","Herring"
2011,291020.631274079,194112.704356507,436308.422511163,12.5811494414896,0.206613603634226,"nbs.herring","NBS","Herring"
2012,60404.4168553154,33057.085957599,110375.535832491,11.0088175079929,0.3075700825684,"nbs.herring","NBS","Herring"
2013,192139.315708286,111565.417364843,330904.661254663,12.1659759905349,0.277356928065841,"nbs.herring","NBS","Herring"
2014,464668.619740299,300709.831449398,718024.166787803,13.049079784797,0.22203403969581,"nbs.herring","NBS","Herring"
2015,227280.40238444,134663.222177119,383596.801508956,12.3339397869614,0.267049548376693,"nbs.herring","NBS","Herring"
2016,281949.248770896,138091.502480678,575671.764405603,12.5494823648264,0.364195752876794,"nbs.herring","NBS","Herring"
2017,645965.98228561,357682.788456081,1166598.06884012,13.3785021223776,0.301587335385107,"nbs.herring","NBS","Herring"
2018,237554.159135104,139081.643337562,405747.136488899,12.3781509149236,0.27313487253966,"nbs.herring","NBS","Herring"
2019,369399.890880192,230217.815781639,592726.844006401,12.8196350513498,0.241256416027091,"nbs.herring","NBS","Herring"
2021,40530.765584262,20683.6176033822,79422.4197307619,10.609816608767,0.343230471725267,"nbs.herring","NBS","Herring"
2022,78915.6436299917,44677.2072928101,139392.75050744,11.2761347587903,0.290268605283243,"nbs.herring","NBS","Herring"
2023,94163.2850125294,53376.5364068257,166116.515630957,11.4527856288843,0.289627308514704,"nbs.herring","NBS","Herring"
2024,70664.0179203621,36160.7020010769,138089.228148849,11.1656917820245,0.341824420879598,"nbs.herring","NBS","Herring"
2025,76071.3015845409,41063.5608637809,140924.040756298,11.2394263581978,0.314572080316077,"nbs.herring","NBS","Herring"
2003,120.838616638295,21.9368111083848,665.637826706526,4.79445590857389,0.870572022632385,"nbs.capelin","NBS","Capelin"
2004,1280.50408768653,458.774835842784,3574.06420421848,7.15500909789261,0.523708379342085,"nbs.capelin","NBS","Capelin"
2005,11710.8391790872,3924.08238365804,34949.2545950573,9.36827011748155,0.557858364146041,"nbs.capelin","NBS","Capelin"
2006,889.459053780535,362.64938938011,2181.54898786534,6.79061347319703,0.457751765970076,"nbs.capelin","NBS","Capelin"
2007,12075.134451013,3006.57877399313,48496.6079290145,9.39890361311825,0.709372994973559,"nbs.capelin","NBS","Capelin"
2009,21948.7393575309,9616.01927521632,50098.3978501842,9.99646498439528,0.421068616381623,"nbs.capelin","NBS","Capelin"
2010,346625.975010715,61734.7824590967,1946221.59123564,12.7560015957831,0.88032169120596,"nbs.capelin","NBS","Capelin"
2011,20755.9544986114,5547.798782169,77654.1587148186,9.94058844828112,0.673191929263196,"nbs.capelin","NBS","Capelin"
2012,97223.2023368042,34947.3356148131,270474.155077408,11.4847646691313,0.522033652986971,"nbs.capelin","NBS","Capelin"
2013,58033.6365033449,11233.5927656458,299806.396409702,10.9687780611414,0.837828731458265,"nbs.capelin","NBS","Capelin"
2014,25693.5559731452,6559.78549387471,100637.256989818,10.1539954990982,0.696585410532175,"nbs.capelin","NBS","Capelin"
2015,43046.9206920191,7117.53256292769,260348.28287498,10.6700459786569,0.918246252818884,"nbs.capelin","NBS","Capelin"
2016,16811.9514572357,2536.54077666327,111428.018189502,9.729845308733,0.964960984394292,"nbs.capelin","NBS","Capelin"
2017,139.777984150284,19.1680068693037,1019.29663247386,4.94005533635595,1.01369860452599,"nbs.capelin","NBS","Capelin"
2018,2449.12714081998,541.815798677687,11070.5958861662,7.80348697100681,0.769688062672813,"nbs.capelin","NBS","Capelin"
2019,3.51183907176855,0.190137006057138,64.863825941879,1.25613985233363,1.48785909205617,"nbs.capelin","NBS","Capelin"
2021,193.325166008896,42.3455180186126,882.610995476301,5.26437356919845,0.774764739346627,"nbs.capelin","NBS","Capelin"
2022,9508.00246856986,1402.60669375996,64452.9299229209,9.15988908811087,0.976447217765825,"nbs.capelin","NBS","Capelin"
2023,3614.07988241138,1279.44748694278,10208.7608360239,8.19259257450816,0.529810226003807,"nbs.capelin","NBS","Capelin"
2024,49306.8801466482,13884.9083383541,175094.308910945,10.8058189070208,0.646573671141203,"nbs.capelin","NBS","Capelin"
2025,305.219343150648,82.072662728888,1135.07767794797,5.72103067600828,0.670127461854509,"nbs.capelin","NBS","Capelin"
2003,360716.588690697,259980.528988612,500485.39351327,12.795847856105,0.167087681202353,"sebs.forage","SEBS","Forage"
2004,923448.026822125,711067.157305853,1199262.61462091,13.735869798556,0.133343082614156,"sebs.forage","SEBS","Forage"
2005,878721.677290944,685690.898607245,1126093.09487611,13.6862234909087,0.126553994268177,"sebs.forage","SEBS","Forage"
2006,189926.944041491,148737.619757523,242522.665965383,12.1543947721568,0.124724577931901,"sebs.forage","SEBS","Forage"
2007,232861.89172128,179946.084044461,301338.375347002,12.3582008174147,0.131527042094202,"sebs.forage","SEBS","Forage"
2008,133786.039276016,77884.5996734642,229810.570770153,11.8039970809934,0.276032399821116,"sebs.forage","SEBS","Forage"
