"sample_year","est","lwr","upr","log_est","se","model","region","species"
2003,226019.958279417,144986.830884057,352342.493653656,12.3283785853261,0.226524769352522,"nbs.forage","NBS","Forage"
2004,612274.16241194,441923.54764053,848290.732545842,13.3249354389797,0.166351659822102,"nbs.forage","NBS","Forage"
2005,340819.687066152,213264.496372478,544666.651353881,12.7391088394817,0.239198476010885,"nbs.forage","NBS","Forage"
2006,374747.455002219,256817.493524058,546830.564785825,12.8340076247536,0.19280285661211,"nbs.forage","NBS","Forage"
2007,349259.556692394,247853.658376164,492154.276600741,12.7635706402163,0.174991417769588,"nbs.forage","NBS","Forage"
2009,189007.993075525,127737.58907095,279667.25931077,12.1495445845524,0.199907362801539,"nbs.forage","NBS","Forage"
2010,204403.264902031,135733.187549595,307814.879005505,12.227850110286,0.208883291739449,"nbs.forage","NBS","Forage"
2011,363892.621388815,267701.715206887,494646.9610734,12.8046141069144,0.156628117990933,"nbs.forage","NBS","Forage"
2012,166783.729629204,105618.314085282,263371.10859928,12.0244532199596,0.233099260755895,"nbs.forage","NBS","Forage"
2013,358570.843615549,227942.999472104,564057.90126887,12.7898815307003,0.231142337261425,"nbs.forage","NBS","Forage"
2014,1146444.37921622,769918.791182722,1707108.24269847,13.9521758665544,0.203134112373175,"nbs.forage","NBS","Forage"
2015,686378.939010245,416785.486394482,1130356.17432927,13.439185143425,0.254524164757768,"nbs.forage","NBS","Forage"
2016,483971.068545361,288821.988519802,810977.018714346,13.0897804081794,0.263379629225232,"nbs.forage","NBS","Forage"
2017,768238.736121318,477925.987709273,1234899.90261065,13.5518558181492,0.24217009079577,"nbs.forage","NBS","Forage"
2018,532530.894205183,344025.697697858,824325.494231058,13.1853961921695,0.222924788128979,"nbs.forage","NBS","Forage"
2019,781663.895268613,511010.256617627,1195667.6744821,13.5691801256895,0.216858671077121,"nbs.forage","NBS","Forage"
2021,176677.08491775,115488.092055534,270285.80851456,12.082078966354,0.21692044607195,"nbs.forage","NBS","Forage"
2022,139297.013701385,88266.8121737785,219829.600143734,11.8443637216442,0.232781960471235,"nbs.forage","NBS","Forage"
2023,262557.736009809,171259.452273498,402527.065358741,12.4782262835331,0.218009788212765,"nbs.forage","NBS","Forage"
2024,216117.774934634,141485.171842067,330118.64094729,12.2835787923962,0.216141009630269,"nbs.forage","NBS","Forage"
2025,840464.287696032,568163.117810078,1243270.10456973,13.6417097415718,0.199771990170207,"nbs.forage","NBS","Forage"
2003,8662.87178916831,2106.39213029944,35627.4344914591,9.06680156196166,0.721477384804423,"nbs.pollock","NBS","Pollock"
2004,124288.108278247,52202.7930800284,295913.933871388,11.7303576033988,0.442592991770148,"nbs.pollock","NBS","Pollock"
2005,177446.025635173,65670.1757108043,479473.241435812,12.086421760727,0.507163199795035,"nbs.pollock","NBS","Pollock"
2006,2893.64560851836,864.545107427195,9685.07581127307,7.97027244237376,0.616373040864854,"nbs.pollock","NBS","Pollock"
2007,1464.57038499095,408.391234874115,5252.23420442341,7.28931722587832,0.651589321029394,"nbs.pollock","NBS","Pollock"
2009,161.697882002305,39.649229957236,659.43790263346,5.08572966818129,0.717185699522825,"nbs.pollock","NBS","Pollock"
2010,323.599606781722,83.0583720999221,1260.76038889021,5.77950697004677,0.693871592462608,"nbs.pollock","NBS","Pollock"
