"sample_year","est","lwr","upr","log_est","se","se_natural","type","model","region","species","est_mean","est_mean_sd"
2003,226019.958317602,144986.830904101,352342.493723998,12.3283785854951,0.226524769368184,35610.7030926976,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2004,612274.162596015,441923.547791874,848290.732765394,13.3249354392803,0.166351659800763,75712.1785319321,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2005,340819.687089987,213264.496378004,544666.651415951,12.7391088395517,0.239198476033348,57970.9063257814,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2006,374747.455213425,256817.493679692,546830.565070822,12.8340076253172,0.192802856590469,52683.876309821,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2007,349259.556597718,247853.658308347,492154.276468577,12.7635706399452,0.174991417770883,45071.9880225348,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2009,189007.99309131,127737.589077735,279667.259342625,12.1495445846359,0.199907362817046,26522.9439948906,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2010,204403.264986857,135733.187584538,307814.879181743,12.227850110701,0.208883291819835,31619.4623561352,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2011,363892.62146653,267701.715255177,494646.96119545,12.8046141071279,0.15662811800786,43889.1652932362,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2012,166783.729671001,105618.314096161,263371.108704155,12.0244532202102,0.233099260831203,27399.9850140366,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2013,358570.843719307,227942.999503205,564057.901518348,12.7898815309896,0.23114233733945,58547.7346667388,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2014,1146444.3797227,769918.791311947,1707108.24392027,13.9521758669962,0.203134112512941,167434.49939936,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2015,686378.93923948,416785.486472216,1130356.17487347,13.439185143759,0.254524164833009,119991.891885406,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2016,483971.068621741,288821.988486018,810977.019065185,13.0897804083372,0.263379629365435,87682.9898988754,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2017,768238.73638848,477925.98777032,1234899.90331181,13.551855818497,0.242170090908032,132522.808607482,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2018,532530.894533653,344025.697812246,824325.494973875,13.1853961927863,0.222924788274038,83455.5009853314,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2019,781663.895535034,511010.256641125,1195667.67524218,13.5691801260304,0.21685867122756,120120.675185839,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2021,176677.084945774,115488.09206751,270285.808572274,12.0820789665126,0.216920446099968,26917.8222524963,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2022,139297.013734357,88266.8121785282,219829.600235973,11.8443637218809,0.232781960564548,22579.5301028215,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2023,262557.736082552,171259.452303195,402527.065511988,12.4782262838102,0.218009788265652,39979.4921619154,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2024,216117.77501157,141485.171878779,330118.641096672,12.2835787927522,0.216141009679515,32842.5643387791,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2025,840464.28803745,568163.117943195,1243270.10528853,13.641709741978,0.199771990257928,120981.481629174,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621355
2003,8662.70529927692,2106.34891414694,35626.7960156602,9.06678234298955,0.721478047014801,3074.59702381643,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2004,124285.885890814,52202.0165378533,295907.753304192,11.7303397223052,0.442591458327651,33556.7541289803,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2005,177440.897277148,65668.2527377721,479459.567049043,12.0863928593633,0.50716339436672,50579.8412429016,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2006,2893.64269497125,864.541040997278,9685.10186225715,7.9702714354956,0.616374926961492,925.258991600557,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2007,1464.52618807809,408.379406952567,5252.06932340654,7.28928704803217,0.65158870102051,459.758614834949,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2009,161.698015915788,39.6493527318239,659.436952929537,5.08573049635186,0.717184542183454,57.1666787650926,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2010,323.593208055737,83.0570194756177,1260.73106115423,5.77948719626116,0.693869812619857,102.423513849499,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2011,180.025754846725,53.3514680246058,607.467303302433,5.1930999231367,0.620520804718043,59.8618045558616,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2012,57.434072814192,6.28020118816832,525.249529623429,4.05063773024763,1.12922264460259,24.7219132069696,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2013,4623.04821485288,463.805652211983,46080.8847303269,8.43880955327688,1.17315622119712,2104.25174521997,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2014,500067.316089427,168733.705979621,1482023.51847286,13.1224980005211,0.554306590414723,148463.02854916,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2015,377641.221429246,64806.2822518336,2200602.89168243,12.8416998742159,0.899272671409599,145833.010115117,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2016,30647.929477153,4606.72422046775,203896.638106367,10.3303203853191,0.966879033544643,12975.5967056424,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2017,12716.5110482783,2339.5944699754,69118.6679214043,9.45065651061273,0.863752412831379,4749.90998463863,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2018,121468.158607352,25175.9450550501,586055.996039012,11.7074074383413,0.802955153485877,46016.1148817487,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2019,10683.9479638696,2333.01813903295,48926.6423543488,9.27649770374529,0.776330416667923,4087.20739881149,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2021,48018.7654736406,15675.2778811478,147097.987997114,10.7793471608575,0.571187571138623,14132.9062912021,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2022,14903.0432641344,3505.48230414341,63358.1000452187,9.60932071699325,0.738399957244628,4902.2525099775,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2023,56649.4854318869,19855.6337173159,161624.869061665,10.9446381831296,0.534905299830615,16198.6058874531,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2024,26820.735902244,11329.3987905477,63494.2672278506,10.1969305950217,0.4396888477058,6923.47966960085,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2025,892728.072913549,316401.004882884,2518839.69983893,13.7020373038709,0.529229935444359,239916.517645986,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187305
2003,188688.043947702,100914.549913696,352805.199639283,12.1478503692417,0.319302281525278,34388.9521818096,"index","nbs.herring","NBS","Herring",236406.244329523,168558.998181502
2004,509508.085208092,321571.990054419,807279.542128296,13.141201000426,0.234812622662546,75392.8204740409,"index","nbs.herring","NBS","Herring",236406.244329523,168558.998181502
2005,216101.167687653,113318.170826761,412111.44104471,12.2835019459401,0.329366834738213,41340.1997155063,"index","nbs.herring","NBS","Herring",236406.244329523,168558.998181502
2006,418633.871349694,247688.519719877,707559.310538234,12.9447520015105,0.26777264213249,69130.9060979814,"index","nbs.herring","NBS","Herring",236406.244329523,168558.998181502
2007,309083.294937597,192759.214778429,495605.272719612,12.6413660824592,0.240906970234527,46777.2678295388,"index","nbs.herring","NBS","Herring",236406.244329523,168558.998181502
2009,115939.208701282,63777.3812463349,210762.810444682,11.6608212697996,0.304937944758007,19689.8915178929,"index","nbs.herring","NBS","Herring",236406.244329523,168558.998181502
2010,75849.7783276552,44534.2960996957,129185.580018491,11.2365100622629,0.271686212744286,13478.4138204961,"index","nbs.herring","NBS","Herring",236406.244329523,168558.998181502
