"","Year","D","Lat","Lon"
"1",2003,20.5088497528543,56.2178705905174,-168.080723078499
"2",2003,20.5088497528543,56.0744678014139,-168.010954176401
"3",2003,20.5088497528543,56.1122580973329,-168.224767746021
"4",2003,35.8345166488316,57.337068366521,-171.224363550621
"5",2003,35.8345166488316,57.275343055997,-171.010934519141
"6",2003,35.8345166488316,57.2009825157767,-171.210937437532
"7",2003,35.8345166488316,57.27725232603,-171.457607956765
"8",2003,124.333891273334,59.2958249968334,-170.135440522579
"9",2003,124.333891273334,59.4144648567043,-170.000407333547
"10",2003,124.333891273334,59.3118602823301,-169.853966576037
"11",2003,124.333891273334,59.4310044956411,-169.751702421216
"12",2003,124.333891273334,59.4169836707739,-170.255187321163
"13",2003,87.2626574662418,57.4776475618748,-169.952448478955
"14",2003,87.2626574662418,57.5120302547906,-169.71534550473
"15",2003,87.2626574662418,57.3566562941212,-169.807777288764
"16",2003,87.2626574662418,57.411731679852,-169.574969724087
"17",2003,65.053808022441,59.1171606125532,-168.81743336216
"18",2003,65.053808022441,59.220743581633,-168.673724283664
"19",2003,65.053808022441,59.094226656356,-168.579593943773
"20",2003,8.97166628370571,55.0049460614322,-166.590430773261
"21",2003,8.97166628370571,55.0914549548457,-166.283159035031
"22",2003,8.97166628370571,54.9830133902614,-166.392042125937
"23",2003,8.97166628370571,55.1102372562532,-166.492421279244
"24",2003,51.3099098017454,56.593807568056,-168.416516799473
"25",2003,51.3099098017454,56.7024655484803,-168.472306192246
"26",2003,51.3099098017454,56.6591827780427,-168.702102503997
"27",2003,51.3099098017454,56.5603046401754,-168.631958836814
"28",2003,63.7635362622838,58.5215958372888,-165.990740785542
"29",2003,63.7635362622838,58.4259466656262,-166.138229428227
"30",2003,63.7635362622838,58.3176556472102,-166.031976542006
"31",2003,63.7635362622838,58.4178450173208,-165.859569837673
"32",2003,76.7088288100445,56.3129723525493,-160.577212795906
"33",2003,76.7088288100445,56.3896653274567,-160.416509494682
"34",2003,76.7088288100445,56.5389781971956,-160.610635483592
"35",2003,76.7088288100445,56.4268159104025,-160.665113797702
"36",2003,76.7088288100445,56.5280777537323,-160.422631392815
"37",2003,76.7088288100445,56.4443310301736,-160.243668107901
"38",2003,29.8494153894148,58.7420337920378,-171.435705583017
"39",2003,29.8494153894148,58.6480601357777,-171.098956934403
"40",2003,29.8494153894148,58.7617039627416,-171.190990936934
"41",2003,29.8494153894148,58.522023561783,-171.248144770924
"42",2003,29.8494153894148,58.6196762043352,-171.383354195808
"43",2003,41.9057350643592,58.4811235442818,-169.561754232641
"44",2003,41.9057350643592,58.3582115715056,-169.651182846441
"45",2003,41.9057350643592,58.5221735988173,-169.90959474656
"46",2003,41.9057350643592,58.5687773387034,-169.690809101202
"47",2003,41.9057350643592,58.4242697251106,-169.835391795319
"48",2003,136.304551374318,57.1868097049688,-164.306969316571
"49",2003,136.304551374318,57.1887154442513,-164.078575067654
"50",2003,136.304551374318,57.2854994293517,-164.191293285774
"51",2003,136.304551374318,57.3120898608534,-163.989166804909
"52",2003,176.504968790011,55.7910359016154,-162.319114667177
"53",2003,176.504968790011,55.8817571093952,-162.100935283997
"54",2003,176.504968790011,55.733498941877,-162.102919001823
"55",2003,176.504968790011,55.81676977533,-161.89013933658
"56",2003,116.170082372352,56.3541520873414,-161.761740467838
"57",2003,116.170082372352,56.2521131617698,-161.626507129492
"58",2003,116.170082372352,56.2220067113003,-161.845652954692
"59",2003,116.170082372352,56.3193751388337,-162.009122994577
"60",2003,69.7361123512215,56.5430792304476,-167.549311193614
"61",2003,69.7361123512215,56.554033244288,-167.786469809936
"62",2003,69.7361123512215,56.4522525720876,-167.435675133901
"63",2003,69.7361123512215,56.4164402426471,-167.665779334488
"64",2003,54.0465495339297,58.888685693256,-170.373789143414
"65",2003,54.0465495339297,58.8213216038209,-170.133256432712
"66",2003,54.0465495339297,58.7455902784549,-170.33432100315
"67",2003,54.0465495339297,58.9408915696649,-170.149516835888
"68",2003,153.294584667525,57.6227197972021,-164.777514146625
"69",2003,153.294584667525,57.7720744664946,-164.824543525051
"70",2003,153.294584667525,57.6984843338822,-164.631043880247
"71",2003,153.294584667525,57.6837490854406,-164.967019044188
"72",2003,171.311681876108,57.3163220423568,-165.019710780303
"73",2003,171.311681876108,57.1968954107099,-164.97441324788
"74",2003,171.311681876108,57.3775273807958,-165.231357693072
"75",2003,171.311681876108,57.2495959600255,-165.247835185953
"76",2003,27.5791531135042,55.8584919805751,-167.528343333661
"77",2003,27.5791531135042,56.0672312454698,-167.541085776947
"78",2003,27.5791531135042,55.9780096264664,-167.442526204904
"79",2003,27.5791531135042,55.9505897314955,-167.698332679013
"80",2003,29.3958188800549,58.7921996812124,-167.024426770752
"81",2003,29.3958188800549,58.8703587161831,-166.862146271247
"82",2003,29.3958188800549,58.8405328740859,-167.272935705364
"83",2003,29.3958188800549,58.910132963754,-167.086728304765
"84",2003,15.4740629367278,54.8853921306621,-165.760610979671
"85",2003,15.4740629367278,54.9219138938712,-165.954555464964
"86",2003,15.4740629367278,55.0155729102978,-165.841980412276
"87",2003,66.1150251628346,57.266975385436,-159.249186957395
"88",2003,66.1150251628346,57.1320129253406,-159.254656155953
"89",2003,66.1150251628346,57.1888817621895,-159.043861956625
"90",2003,66.1150251628346,57.2072951894258,-159.476474204686
"91",2003,142.121716725827,56.0434146287909,-165.286232572967
"92",2003,142.121716725827,55.9574049066213,-165.145779447807
"93",2003,142.121716725827,56.0594411696747,-165.048156508882
"94",2003,117.271268314427,56.1590269150954,-164.378226334053
"95",2003,117.271268314427,56.0494133686559,-164.422749953561
"96",2003,117.271268314427,56.056564182992,-164.175148677185
"97",2003,117.271268314427,56.1631555410917,-164.157969855723
"98",2003,175.635034115336,57.4668817965895,-161.486605823799
"99",2003,175.635034115336,57.5587485727145,-161.337520636164
"100",2003,175.635034115336,57.5576948067013,-161.58851372372
"101",2003,175.635034115336,57.3628169957029,-161.449423483705
"102",2003,175.635034115336,57.4468003944087,-161.259454468621
"103",2003,30.6314695371046,54.8467835028278,-164.879781800936
"104",2003,30.6314695371046,54.9535780163495,-164.64964071892
"105",2003,30.6314695371046,54.8164373359824,-164.654070659653
"106",2003,30.6314695371046,54.9650816660069,-164.86823736612
"107",2003,99.9288539469994,58.9030770546344,-169.920933263294
"108",2003,99.9288539469994,58.98084839867,-169.749668470688
"109",2003,99.9288539469994,58.8726477447322,-169.414478337699
"110",2003,99.9288539469994,58.8480282678584,-169.681728577305
"111",2003,99.9288539469994,58.9857872866462,-169.523173090132
"112",2003,47.4482186416283,57.7265060740016,-171.443709987721
"113",2003,47.4482186416283,57.7638226170816,-171.823888833941
"114",2003,47.4482186416283,57.8138464898272,-171.585036247957
"115",2003,47.4482186416283,57.6507413430566,-171.645907469236
"116",2003,32.8490086447254,58.9482991730289,-166.189747425466
"117",2003,32.8490086447254,59.0298280615332,-166.386858548733
"118",2003,32.8490086447254,58.9227722159487,-166.644596285649
"119",2003,32.8490086447254,58.8948914343729,-166.423545868904
"120",2003,32.8490086447254,59.0288269446295,-166.626645925001
"121",2003,39.4831083834454,57.3806307948035,-171.631567152901
"122",2003,39.4831083834454,57.4971641296456,-171.767280066066
"123",2003,39.4831083834454,57.5192795817254,-171.537756594873
"124",2003,39.4831083834454,57.4023452516997,-171.427357375125
"125",2003,45.6582024141982,58.9682302786949,-164.041568716627
"126",2003,45.6582024141982,59.0340140073485,-163.861609986089
"127",2003,45.6582024141982,58.8858810320388,-163.844528959309
"128",2003,45.6582024141982,58.9798030741646,-163.666146743372
"129",2003,45.6582024141982,58.8583339369909,-164.090272383792
"130",2003,48.5388107586717,57.985602883435,-170.518476298839
"131",2003,48.5388107586717,58.1188347961377,-170.183513889784
"132",2003,48.5388107586717,58.103468414228,-170.435565633709
"133",2003,48.5388107586717,57.985653586154,-170.199686771795
"134",2003,46.1140718004808,55.0561584259161,-165.013567769468
"135",2003,46.1140718004808,55.1769403153507,-165.32720737548
"136",2003,46.1140718004808,55.0519523818518,-165.237724394661
"137",2003,46.1140718004808,55.175690138121,-165.116120188753
"138",2003,4.96278607543268,54.5604179188907,-166.106022128167
"139",2003,4.96278607543268,54.4319743557468,-166.287560566318
"140",2003,4.96278607543268,54.4370818750818,-166.057674665684
"141",2003,4.96278607543268,54.5411986193345,-166.285586980299
"142",2003,5.29467232789244,55.066004827905,-167.769365167139
"143",2003,5.29467232789244,54.9557301513567,-167.623664584052
"144",2003,5.29467232789244,55.1842885902028,-167.537626089161
"145",2003,5.29467232789244,55.0690158734601,-167.575415797589
"146",2003,51.1978309981785,58.4461929831167,-166.583280733832
"147",2003,51.1978309981785,58.5724952161098,-166.188763333848
"148",2003,51.1978309981785,58.3816424492498,-166.354740652571
"149",2003,51.1978309981785,58.5667015916049,-166.577351258518
"150",2003,51.1978309981785,58.4990266993923,-166.357224171781
"151",2003,139.563576708793,56.1516061617637,-165.393584883876
"152",2003,139.563576708793,56.3769740458226,-165.533510927619
"153",2003,139.563576708793,56.2608317838076,-165.580423493873
"154",2003,139.563576708793,56.1408626132244,-165.600738001999
"155",2003,139.563576708793,56.2756016160158,-165.342826385873
"156",2003,44.0767425559699,59.5870049352801,-165.911667327928
"157",2003,44.0767425559699,59.4032999862829,-165.639838576711
