"","sample_year","n()"
"1",2003,47
"2",2004,61
"3",2005,45
"4",2006,49
"5",2007,56
"6",2009,46
"7",2010,60
"8",2011,57
"9",2012,42
"10",2013,43
"11",2014,46
"12",2015,37
"13",2016,35
"14",2017,35
"15",2018,47
"16",2019,44
"17",2021,46
"18",2022,40
"19",2023,45
"20",2024,45
